    twofish-cbc   128b    36.4 MiB/s    40.3 MiB/s
    twofish-cbc   256b    41.5 MiB/s    41.9 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.4 MiB/s    44.3 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   256b    41.4 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.4 MiB/s    44.3 MiB/s
    twofish-cbc   256b    41.4 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.4 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.3 MiB/s
    twofish-cbc   256b    41.4 MiB/s    44.3 MiB/s
    twofish-cbc   128b    41.5 MiB/s    44.4 MiB/s
    twofish-cbc   256b    41.5 MiB/s    44.4 MiB/s
